Space,StartDate,Activity,Duration,Tags
Off-Work Space,2023-03-20,Gaming,00:54:51,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-20,Gaming,01:07:37,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-21,Studying,00:34:57,"#GCPN
#Index
#SANS
#SANS SEC-588"
Off-Work Space,2023-03-21,Gaming,01:12:30,"#NeedForSpeed
#Racing"
Work-Space,2023-03-21,Unit42-Case Work,00:39:00,"#1-on-1
#Meeting"
Work-Space,2023-03-21,Unit42-Case Work,01:43:01,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-21,Unit42-Case Work,02:22:53,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-21,Coding,01:04:08,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-03-21,Gaming,01:29:54,"#NeedForSpeed
#Racing"
Off-Work Space,2023-03-21,Gaming,00:08:21,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-22,Studying,00:25:35,"#GCPN
#Index
#SANS
#SANS SEC-588"
Off-Work Space,2023-03-22,Gaming,00:43:23,"#NeedForSpeed
#Racing"
Work-Space,2023-03-22,Unit42-Case Work,03:01:26,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-22,Coding,00:44:02,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-03-22,Gaming,00:14:17,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-22,Gaming,02:10:42,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-23,Studying,00:27:23,"#GCPN
#Index
#SANS
#SANS SEC-588"
Off-Work Space,2023-03-23,Gaming,00:52:59,"#NeedForSpeed
#Racing"
Work-Space,2023-03-23,Unit42-Case Work,03:21:54,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-23,Unit42-Case Work,02:47:47,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-23,Coding,00:58:38,"#100DaysofCode
#Python"
Off-Work Space,2023-03-23,Gaming,01:13:24,"#NeedForSpeed
#Racing"
Off-Work Space,2023-03-23,Gaming,01:11:47,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-23,Gaming,01:10:18,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-24,Studying,00:27:15,"#GCPN
#Index
#SANS
#SANS SEC-588"
Off-Work Space,2023-03-24,Gaming,01:04:08,"#NeedForSpeed
#Racing"
Work-Space,2023-03-24,Unit42-Case Work,00:24:17,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-24,Unit42-Case Work,01:04:28,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-24,Unit42-Case Work,02:12:42,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-24,Coding,00:25:06,"#100DaysofCode
#Python"
Off-Work Space,2023-03-24,Gaming,00:26:44,"#NeedForSpeed
#Racing"
Off-Work Space,2023-03-24,Gaming,00:33:29,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-24,Gaming,00:50:12,"#RTS
#Surviving Mars"
Off-Work Space,2023-03-25,Mimir Cyber,04:00:00,"#BLS
#Networking
#Teaching"
Off-Work Space,2023-03-25,Gaming,00:30:48,"#RTS
#Surviving Mars"
Off-Work Space,2023-03-25,Gaming,00:19:17,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-25,Gaming,01:36:29,"#RTS
#Surviving Mars"
Off-Work Space,2023-03-25,Gaming,00:35:34,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-26,Studying,00:56:17,"#GCPN
#Index
#SANS
#SANS SEC-588"
Off-Work Space,2023-03-26,Coding,01:21:55,"#100DaysofCode
#Python"
Off-Work Space,2023-03-26,Gaming,00:54:09,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-26,Mimir Cyber,02:43:49,"#BLS
#Networking
#Teaching"
Off-Work Space,2023-03-26,Gaming,00:39:46,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-26,Gaming,00:13:08,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-27,Studying,00:34:05,"#GCPN
#Index
#SANS
#SANS SEC-588"
Off-Work Space,2023-03-27,Gaming,00:54:57,"#NeedForSpeed
#Racing"
Work-Space,2023-03-27,Unit42-Case Work,02:26:18,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-27,Unit42-Case Work,02:39:25,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-27,Coding,01:31:48,"#100DaysofCode
#Flask
#Jinja
#Python"
Off-Work Space,2023-03-27,Gaming,01:27:05,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-27,Gaming,01:09:13,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-28,Studying,01:15:03,"#GCPN
#Index
#SANS
#SANS SEC-588"
Off-Work Space,2023-03-28,Gaming,00:31:28,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-03-28,Unit42-Case Work,02:56:11,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-28,Mimir Cyber,00:34:11,"#Interview
#Practice Test
#edx"
Work-Space,2023-03-28,Unit42-Case Work,01:26:33,"#ASTM
#Meeting
#Meta"
Work-Space,2023-03-28,Unit42-Case Work,01:04:55,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-28,Coding,00:46:00,"#100DaysofCode
#Bootstrap"
Off-Work Space,2023-03-28,Gaming,00:45:21,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-28,Gaming,01:42:04,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-28,Gaming,00:09:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-29,Gaming,01:36:46,"#NeedForSpeed
#Racing"
Work-Space,2023-03-29,Unit42-Case Work,01:57:42,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-29,Unit42-Case Work,00:28:30,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-29,Unit42-Case Work,01:18:16,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-29,Coding,00:59:57,"#100DaysofCode
#Bootstrap
#Flask
#Python"
Off-Work Space,2023-03-29,Gaming,00:30:00,"#NeedForSpeed
#Racing"
Off-Work Space,2023-03-29,Gaming,00:45:59,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-29,Gaming,00:27:26,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-30,Gaming,01:01:48,"#NeedForSpeed
#Racing"
Work-Space,2023-03-30,Unit42-Case Work,02:13:37,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-03-30,Unit42-Case Work,02:35:43,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-30,Coding,01:21:09,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-03-30,Gaming,01:19:48,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-30,Gaming,00:40:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-30,Gaming,00:48:41,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-03-30,Gaming,00:28:39,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-03-31,Gaming,01:20:25,
Work-Space,2023-03-31,Unit42-Case Work,02:05:24,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-03-31,Studying,03:20:00,"#GIAC
#SANS
#SANS SEC-588
#Test"
Off-Work Space,2023-03-31,Coding,00:15:23,"#100DaysofCode
#CSS
#Flask
#HTML
#Python"
Off-Work Space,2023-03-31,Gaming,00:42:43,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-01,Mimir Cyber,04:01:35,"#BLS
#Networking
#Teaching"
Off-Work Space,2023-04-01,Gaming,00:20:30,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-01,Gaming,01:30:37,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-01,Gaming,00:08:02,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-01,Gaming,00:57:31,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-01,Gaming,00:26:15,
Off-Work Space,2023-04-01,Coding,00:50:33,"#100DaysofCode
#Flask
#HTML
#Python"
Off-Work Space,2023-04-01,Gaming,00:11:57,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-01,Gaming,01:21:54,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-02,Teaching / Cirriculum Development,00:57:12,"#Book Review
#Movie Review"
Off-Work Space,2023-04-02,Coding,00:50:00,"#100DaysofCode
#Bootstrap
#Flask
#Python"
Off-Work Space,2023-04-02,Gaming,00:35:55,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-02,Gaming,00:09:56,
Off-Work Space,2023-04-02,Mimir Cyber,02:33:21,"#BLS
#Networking
#Teaching"
Off-Work Space,2023-04-02,Gaming,00:18:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-02,Gaming,01:00:17,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-02,Gaming,00:40:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-03,Gaming,00:45:10,"#NeedForSpeed
#Racing"
Work-Space,2023-04-03,Unit42-Case Work,00:26:29,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-03,Unit42-Administrative,00:43:04,"#Meeting
#Performance Project"
Work-Space,2023-04-03,Unit42-Case Work,00:56:20,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-03,Unit42-Case Work,01:11:33,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-03,Unit42-Administrative,00:16:36,"#ASTM
#Internal Meeting
#Meta"
Work-Space,2023-04-03,Unit42-Case Work,01:56:05,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-03,Coding,01:12:47,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-03,Gaming,00:36:33,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-03,Gaming,00:06:49,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-03,Gaming,01:33:31,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-03,Gaming,01:25:51,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-04,Gaming,00:45:26,"#NeedForSpeed
#Racing"
Work-Space,2023-04-04,Unit42-Case Work,00:28:34,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-04,Unit42-Administrative,00:40:31,"#Meeting
#Performance Project"
Work-Space,2023-04-04,Unit42-Case Work,02:50:02,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-04,Coding,01:18:26,"#100DaysofCode
#Flask
#Python
#SQL
#SQLAlchemy"
Off-Work Space,2023-04-04,Gaming,00:13:14,
Off-Work Space,2023-04-04,Gaming,01:30:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-05,Gaming,00:52:00,"#NeedForSpeed
#Racing"
Work-Space,2023-04-05,Unit42-Case Work,03:01:41,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-05,Unit42-Case Work,01:39:06,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-05,Coding,00:53:58,"#100DaysofCode
#Flask
#Python
#databases"
Work-Space,2023-04-05,Unit42-Administrative,00:42:44,"#Concur
#Training"
Off-Work Space,2023-04-05,Gaming,00:18:40,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-05,Gaming,00:26:54,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-06,Gaming,01:33:30,"#NeedForSpeed
#Racing"
Work-Space,2023-04-06,Unit42-Case Work,04:12:54,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-06,Unit42-Case Work,01:45:15,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-06,Coding,01:37:15,"#100DaysofCode
#Bootstrap
#CSS
#Flask
#HTML
#Python
#SQL
#SQLAlchemy"
Off-Work Space,2023-04-06,Gaming,00:42:36,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-06,Gaming,00:49:37,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-06,Gaming,02:01:50,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-07,Gaming,02:26:06,"#NeedForSpeed
#Racing"
Off-Work Space,2023-04-07,Coding,00:47:46,"#100DaysofCode
#Flask
#HTML
#Python"
Off-Work Space,2023-04-07,Videos,01:26:33,#YouTube
Off-Work Space,2023-04-07,Videos,00:38:00,#YouTube
Off-Work Space,2023-04-07,Gaming,02:03:25,"#NeedForSpeed
#Racing"
Off-Work Space,2023-04-08,Videos,00:46:41,#YouTube
Off-Work Space,2023-04-08,Videos,00:44:06,#YouTube
Off-Work Space,2023-04-08,Gaming,02:28:18,"#Atomic Heart
#FPS"
Off-Work Space,2023-04-08,Gaming,01:12:14,
Off-Work Space,2023-04-08,Coding,00:53:07,"#Flask
#Python
#TravelPlanner"
Off-Work Space,2023-04-08,Gaming,00:25:06,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-08,Gaming,00:10:08,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-08,Gaming,00:51:49,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-08,Gaming,02:03:16,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-09,Gaming,02:25:50,
Off-Work Space,2023-04-09,Videos,01:12:43,#YouTube
Off-Work Space,2023-04-09,Gaming,02:08:13,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-09,Gaming,00:38:36,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-09,Gaming,00:50:14,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-09,Gaming,01:15:18,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-10,Gaming,01:15:05,
Work-Space,2023-04-10,Unit42-Case Work,02:20:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-10,Unit42-Case Work,00:50:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-10,Unit42-Case Work,02:20:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-10,Videos,01:15:45,#YouTube
Off-Work Space,2023-04-10,Gaming,01:10:52,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-10,Gaming,01:43:55,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-11,Gaming,01:26:03,
Work-Space,2023-04-11,Unit42-Administrative,00:45:00,"#1-on-1
#Internal Meeting"
Work-Space,2023-04-11,Unit42-Case Work,02:28:16,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-11,Unit42-Case Work,03:00:35,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-11,Coding,00:42:31,"#100DaysofCode
#HTML
#Web Design"
Off-Work Space,2023-04-11,Gaming,00:22:30,
Off-Work Space,2023-04-11,Teaching / Cirriculum Development,00:28:36,#Movie Review
Off-Work Space,2023-04-11,Videos,00:15:00,#YouTube
Off-Work Space,2023-04-11,Gaming,00:51:32,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-11,Gaming,01:30:57,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-11,Gaming,00:11:24,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-12,Gaming,00:30:54,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-12,Gaming,00:46:19,
Work-Space,2023-04-12,Unit42-Case Work,04:01:19,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-12,Unit42-Case Work,01:04:47,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-12,Coding,00:32:51,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-12,Gaming,00:26:56,
Off-Work Space,2023-04-12,Homelab Engineering and Documentation,00:51:36,"#SANS
#antsle
#remote-access"
Off-Work Space,2023-04-12,Gaming,01:47:22,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-13,Gaming,00:55:50,
Work-Space,2023-04-13,Unit42-Case Work,03:20:22,
Work-Space,2023-04-13,Unit42-Case Work,01:26:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-13,Unit42-Case Work,00:49:26,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-13,Videos,00:36:51,#YouTube
Off-Work Space,2023-04-13,Coding,00:24:20,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-13,Gaming,00:50:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-13,Gaming,02:28:56,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-14,Gaming,01:09:35,
Work-Space,2023-04-14,Unit42-Case Work,01:55:59,
Work-Space,2023-04-14,Unit42-Case Work,03:50:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-14,Gaming,01:08:19,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-15,Mimir Cyber,03:44:15,"#BLS
#Teaching"
Off-Work Space,2023-04-15,Gaming,00:53:29,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-15,Gaming,01:04:54,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-15,Gaming,00:56:51,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-15,Gaming,01:09:12,
Off-Work Space,2023-04-16,Teaching / Cirriculum Development,00:20:00,#Obsidian
Off-Work Space,2023-04-16,Gaming,00:48:30,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-16,Gaming,00:45:12,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-16,Videos,00:10:43,#YouTube
Off-Work Space,2023-04-16,Gaming,00:57:52,
Off-Work Space,2023-04-16,Gaming,00:12:45,
Off-Work Space,2023-04-16,Mimir Cyber,02:26:08,"#BLS
#Teaching"
Off-Work Space,2023-04-16,Gaming,02:01:47,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-17,Gaming,00:57:19,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-04-17,Unit42-Case Work,02:01:10,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-17,Unit42-Case Work,00:44:26,"#ASTM
#Internal Meeting
#Meta
#Traffic-analysis"
Work-Space,2023-04-17,Unit42-Case Work,00:46:47,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-17,Teaching / Cirriculum Development,01:13:07,"#Ghost
#Movie Review
#Obsidian"
Off-Work Space,2023-04-17,Coding,01:02:37,
Off-Work Space,2023-04-17,Gaming,00:32:05,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-17,Gaming,01:15:23,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-17,Gaming,00:11:20,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-18,Gaming,01:12:31,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-04-18,Unit42-Case Work,02:48:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-18,Unit42-Case Work,02:10:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-18,Mimir Cyber,00:40:00,"#1:1
#Mentorship"
Work-Space,2023-04-18,Unit42-Case Work,00:30:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-18,Coding,00:44:20,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-18,Gaming,00:45:55,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-18,Gaming,00:21:22,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-18,Coding,01:16:36,"#Flask
#Python
#TravelPlanner"
Off-Work Space,2023-04-18,Gaming,01:27:22,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-19,Videos,00:14:33,#YouTube
Off-Work Space,2023-04-19,Gaming,01:17:21,"#RTS
#Surviving Mars"
Work-Space,2023-04-19,Unit42-Case Work,04:08:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-19,Gaming,00:45:59,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-19,Gaming,01:21:35,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-20,Gaming,00:24:23,
Off-Work Space,2023-04-20,Gaming,00:16:49,
Off-Work Space,2023-04-22,Mimir Cyber,02:58:28,"#BLS
#Teaching"
Off-Work Space,2023-04-22,Gaming,00:15:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-22,Gaming,02:05:36,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-22,Gaming,00:18:47,
Off-Work Space,2023-04-23,Gaming,01:16:44,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-23,Videos,00:51:16,#YouTube
Off-Work Space,2023-04-23,Coding,00:55:00,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-23,Mimir Cyber,02:21:18,"#BLS
#Teaching"
Off-Work Space,2023-04-23,Gaming,01:51:34,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-24,Gaming,00:51:42,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-04-24,Unit42-Case Work,02:20:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-24,Unit42-Case Work,02:00:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-24,Coding,00:30:48,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-24,Videos,00:20:00,#YouTube
Off-Work Space,2023-04-24,Gaming,00:35:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-24,Gaming,00:35:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-24,Gaming,01:25:49,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-24,Teaching / Cirriculum Development,00:31:24,#Movie Review
Off-Work Space,2023-04-24,Coding,00:15:00,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-24,Videos,00:10:00,#YouTube
Off-Work Space,2023-04-25,Videos,00:30:49,#YouTube
Off-Work Space,2023-04-25,Gaming,00:29:42,
Off-Work Space,2023-04-25,Gaming,00:29:00,
Work-Space,2023-04-25,Unit42-Case Work,02:06:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-25,Unit42-Case Work,02:04:01,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-25,Unit42-Administrative,01:07:28,"#1-on-1
#Internal Meeting"
Off-Work Space,2023-04-25,Coding,00:45:29,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-25,Gaming,00:14:41,
Off-Work Space,2023-04-25,Gaming,01:38:57,"#Horizon Zero Down
#RPG
#Third Person"
Off-Work Space,2023-04-25,Gaming,01:01:41,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-26,Gaming,01:10:00,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-26,Gaming,00:42:00,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-04-26,Unit42-Case Work,02:53:00,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-26,Unit42-Case Work,02:30:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-26,Coding,01:25:00,"#100DaysofCode
#Flask
#Python"
Off-Work Space,2023-04-26,Gaming,00:15:00,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-26,Gaming,00:41:47,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-26,Gaming,00:34:51,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-26,Gaming,01:24:55,"#Horizon Zero Down
#RPG
#Third Person"
Off-Work Space,2023-04-27,Gaming,00:27:58,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-27,Gaming,00:45:32,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-04-27,Unit42-Case Work,01:22:17,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-04-27,Unit42-Case Work,02:40:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-27,Coding,00:19:24,
Off-Work Space,2023-04-27,Gaming,00:53:18,"#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-04-27,Gaming,00:26:42,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-27,Videos,00:29:42,#YouTube
Off-Work Space,2023-04-27,Gaming,00:44:52,
Off-Work Space,2023-04-27,Gaming,01:02:05,"#Horizon Zero Down
#RPG
#Third Person"
Work-Space,2023-04-28,Unit42-Case Work,00:30:00,"#ASTM
#Meta
#Traffic-analysis"
Off-Work Space,2023-04-28,Gaming,00:44:50,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-04-28,Gaming,01:48:12,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-04-28,Gaming,00:16:16,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-28,Videos,00:05:09,#YouTube
Off-Work Space,2023-04-28,Gaming,02:53:04,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-04-29,Mimir Cyber,00:26:42,#Documentation
Off-Work Space,2023-04-29,Mimir Cyber,03:54:59,"#BLS
#Teaching"
Off-Work Space,2023-04-29,Gaming,02:56:14,
Off-Work Space,2023-04-29,Gaming,00:13:58,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-04-29,Gaming,00:23:23,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-04-29,Gaming,00:27:06,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-04-30,Homelab Engineering and Documentation,00:50:00,"#Audio
#Mic Setup"
Off-Work Space,2023-04-30,Teaching / Cirriculum Development,00:21:40,#TV Show Review
Off-Work Space,2023-04-30,Teaching / Cirriculum Development,00:16:51,#Book Review
Off-Work Space,2023-04-30,Gaming,02:26:49,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-04-30,Mimir Cyber,02:39:04,"#BLS
#Teaching"
Off-Work Space,2023-04-30,Videos,00:01:35,#YouTube
Off-Work Space,2023-04-30,Gaming,01:33:19,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-04-30,Gaming,01:08:56,"#Jedi Survivor
#RPG
#Souls-like
#Third Person"
Off-Work Space,2023-05-01,Gaming,00:46:10,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-05-01,Gaming,00:26:11,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-05-01,Unit42-Case Work,01:55:47,"#ASTM
#Meta
#Traffic-analysis"
Work-Space,2023-05-01,Unit42-Case Work,01:00:00,"#ASTM
#Meta
#Traffic-analysis"
