Space,StartDate,Activity,Duration,Tags
Off-Work Space,2023-01-19,Gaming,01:06:44,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-01-20,Gaming,01:46:19,"#NeedForSpeed
#Racing"
Off-Work Space,2023-01-20,Studying,02:25:57,"#Cloud
#GCPN
#Index
#Pentesting
#SANS
#SANS SEC-588"
Off-Work Space,2023-01-20,Coding,00:27:45,"#100DaysofCode
#Python"
Off-Work Space,2023-01-21,Coding,01:01:00,"#100DaysofCode
#Python"
Off-Work Space,2023-01-22,Coding,00:31:50,"#100DaysofCode
#Python"
Off-Work Space,2023-01-22,Gaming,01:08:48,"#NeedForSpeed
#Racing"
Work-Space,2023-01-23,Unit42-Case Work,02:18:41,"#Code-review
#Meta
#QC"
Work-Space,2023-01-23,Unit42-Case Work,01:40:00,"#Code-review
#Meta
#QC"
Off-Work Space,2023-01-23,Coding,02:02:59,"#100DaysofCode
#Python"
Off-Work Space,2023-01-23,Mimir Cyber,00:20:00,"#Discord
#Python"
Off-Work Space,2023-01-23,Gaming,01:11:03,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-01-23,Mimir Cyber,01:20:00,"#Mentorship
#mentee_project"
Off-Work Space,2023-01-23,Gaming,01:01:53,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-01-24,Gaming,00:50:00,"#Battle-Royal
#Call of Duty
#FPS"
Work-Space,2023-01-24,Unit42-Case Work,01:22:26,"#Code-review
#Meta
#QC"
Work-Space,2023-01-24,Unit42-Case Work,01:10:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-01-24,Coding,00:33:08,"#100DaysofCode
#Python"
Off-Work Space,2023-01-24,Mimir Cyber,00:33:23,"#1:1
#Mentorship"
Off-Work Space,2023-01-24,Coding,01:06:23,"#100DaysofCode
#Python"
Off-Work Space,2023-01-24,Homelab Engineering and Documentation,01:04:38,"#Authelia
#Docker"
Off-Work Space,2023-01-24,Gaming,00:22:03,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-01-25,Gaming,00:40:00,"#Battle-Royal
#Call of Duty
#FPS"
Work-Space,2023-01-25,Unit42-Case Work,02:50:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-01-25,Coding,01:14:26,"#100DaysofCode
#Python"
Off-Work Space,2023-01-25,Gaming,01:12:34,
Off-Work Space,2023-01-26,Gaming,00:41:51,"#Battle-Royal
#Call of Duty
#FPS"
Work-Space,2023-01-26,Unit42-Case Work,04:10:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-01-26,Coding,01:34:38,"#100DaysofCode
#Python"
Off-Work Space,2023-01-26,Coding,00:50:28,"#100DaysofCode
#Python"
Off-Work Space,2023-01-26,Gaming,01:10:00,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-01-27,Gaming,00:57:49,"#NeedForSpeed
#Racing"
Work-Space,2023-01-27,Unit42-Case Work,04:20:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-01-27,Coding,01:05:56,"#100DaysofCode
#Python"
Off-Work Space,2023-01-28,Coding,01:00:39,"#100DaysofCode
#Python"
Off-Work Space,2023-01-28,Gaming,02:10:22,"#It Takes Two
#Platform"
Off-Work Space,2023-01-28,Gaming,01:40:00,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-01-29,Gaming,00:40:00,"#Battle-Royal
#Call of Duty
#FPS
#Multiplayer"
Off-Work Space,2023-01-29,Homelab Engineering and Documentation,00:12:27,"#Docker
#Firefly
#Linux"
Off-Work Space,2023-01-29,Homelab Engineering and Documentation,00:50:00,"#Docker
#Firefly
#Linux"
Off-Work Space,2023-01-29,Coding,00:48:04,"#100DaysofCode
#Python"
Work-Space,2023-01-30,Unit42-Case Work,05:40:00,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-01-30,Coding,01:19:23,"#100DaysofCode
#Python"
Off-Work Space,2023-01-30,Gaming,01:32:21,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-01-31,Gaming,00:54:00,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-01-31,Unit42-Case Work,02:43:28,"#Code-review
#Meta
#QC"
Off-Work Space,2023-01-31,Coding,01:21:24,"#100DaysofCode
#Python"
Off-Work Space,2023-01-31,Gaming,02:20:00,"#Battle-Royal
#Call of Duty
#FPS"
Off-Work Space,2023-02-01,Gaming,00:36:09,"#Call of Duty
#FPS
#Multiplayer"
Work-Space,2023-02-01,Unit42-Case Work,01:38:04,"#Code-review
#Meta
#QC"
Work-Space,2023-02-02,Unit42-Case Work,02:07:51,"#CASD
#Code-review
#Meta
#QC"
Off-Work Space,2023-02-02,Homelab Engineering and Documentation,01:05:01,"#Docker
#Documentation
#Firefly"
